BoroName,NTAName,id,mhinc_70,mhinc_80,mhinc_90,mhinc_00,mhinc_10,pcol_70,pcol_80,pcol_90,pcol_00,pcol_10,70_HINC70,70_MHMVAL7,70_MRENT70,00_MHMVAL0,00_MRENT00,10_mrent0a,10_mhmval0,70_POP70,70_WHITE70,70_BLACK70,80_POP80,80_NHWHT80,80_NHBLK80,80_MHMVAL8,80_MRENT80,90_POP90,90_NHWHT90,90_NHBLK90,90_MHMVAL9,90_MRENT90,00_POP00,00_NHWHT00,00_NHBLK00,10_pop10,10_nhwht10,10_nhblk10
Manhattan,Washington Heights North,36061027700,0,9081,19248,25087,27373,5,5,6,7,17,6386.076381,,80.71428678,225000,549,782,-999,5956,5508,325,6431,1535,320,32500,188,7614,906,299,0,373,8112,606,496,7086,520,406
Brooklyn,Brooklyn Heights-Cobble Hill,36047000501,0,17082,41626,65013,80107,,52,0,,77,8531.358776,55625.00047,121.7852745,217699.9991,868.9999737,1446,494900,3654.72698634863,3447.74047467113,139.285827636719,3425.54352971911,2963.84716796875,165.367233276367,112499.997392797,274.999990751561,3326.76712468266,2794.5953694582,170.361557006836,500000.991119418,535.99999487917,3415.0001642704,2780.72241210938,158.153244018555,4247,3067,322
Brooklyn,Sunset Park West,36047002000,0,7880,17759,26813,34063,0,1,9,8,10,3820.946163,10625,81.67939034,181300,623,1000,504100,3722.99999609927,3296.99999654561,356,1345.99999858974,81,64,23332.9999755531,188.999999801978,1340.99999859498,34.9999999633292,70,154199.999838439,409.999999570427,1574,66,116,1672,53,60
Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,36047004100,0,16454,44944,61486,89205,13,37,60,58,59,5738.806034,34285.71498,77.66447494,545300,890,1381,1000001,3333.00003104098,2430.00002263114,682,2787.00002595596,1405,491,82727.0007704552,211.000001965091,3315.00003087334,1749.00001628883,782,339500.00316184,546.000005085021,3251,2043,474,3598,2388,465
Brooklyn,Bay Ridge,36047005201,0,18095,18756,21804,24917,,27,0,31,39,12979.89611,34142.31051,171.9419709,375000,408.1787149,603,701300,1489.97119444298,1478.24691566653,.599646329879761,1580.677258537,1517.95002794266,.539681732654572,68846.0002564713,273.675080004324,1756.29975312305,1674.27470748177,2.16819560527802,301902.426316373,324.20215849644,1781.00000017881,1595,10.3333333730698,1829,1518,22
Brooklyn,Bay Ridge,36047005202,0,17697,42299,54500,64044,19,21,28,35,51,11956.83466,40500,149.2335771,128900,792,1006,361600,3173,3170,1,2794,2701,3,89048,283,2566,2425,5,358000,510,2453,2186,7,2481,2112,38
Brooklyn,Bay Ridge,36047005800,0,14206,29239,41522,50785,7,12,20,37,42,7906.25,25930.23197,80.50480863,274000,706,998,633900,3508.0000163354,3461.00001611654,2,3211.00001495238,2964,1,58333.0002716342,197.000000917353,2991.00001392793,2547.00001186039,15,231800.001079403,485.000002258457,3308,2344,19,3152,2296,52
Brooklyn,Bay Ridge,36047006000,0,14172,29545,45396,66250,5,8,16,34,37,9522.058493,25000,82.54545364,266700,715,1040,576900,3006.00004479289,2945.00004388392,4,2739.00004081428,2442,5,61118.0009107292,201.000002995133,2562.00003817678,2064.000030756,5,242100.003607571,522.000007778406,2907,1786,20,2826,1712,55
Brooklyn,Carroll Gardens-Columbia Street-Red Hook,36047006500,0,14327,32958,62049,82003,2,13,37,55,68,7696.970123,23750,72.80863607,375200,983,1677,991600,8183.00005971778,8016.00005849905,114,6205.00004528276,5117,28,63500.0004634094,183.000001335495,5153.00003760549,4406.00003215404,75,358300.002614797,574.000004188929,5136,4118,147,5191,4278,91
Brooklyn,Carroll Gardens-Columbia Street-Red Hook,36047006700,0,15830,46176,70536,107851,7,26,51,69,76,9024.390805,40625,70.3393635,683300,965,1788,1000001,5147,4976,102,3862,3034,53,93333,202,3285,2764,47,450000,701,3500,2791,72,3301,2762,58
Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,36047006900,5450,11324,36667,55417,87479,3,16,40,58,68,5450,20500,69.25640914,382900,897,1845,952400,4043.99997599004,3491.99997926736,433,3394.99997984327,1204,168,64999.9996140832,184.999998901621,3131.99998140475,1571.99999066675,214,259999.998456333,621.999996307073,3340,1837,210,3537,2443,143
Brooklyn,Sunset Park West,36047007400,0,8780,24859,35893,30805,1,2,10,9,9,6207.07085,22500,83.47150654,237300,687,877,611600,4804,4643,41,4392,779,22,40000,198,4718,569,123,216700,457,5330,320,108,5451,353,80
Brooklyn,Sunset Park West,36047007600,0,10290,20725,31573,37911,5,10,18,12,26,5647.435993,15250,78.35821011,228200,594,1007,650000,4066.99996969849,3838.99997139722,144,3593.99997322261,797,37,31499.9997653067,186.999998606741,3595.99997320771,546.999995924532,98,212499.998416752,442.999996699393,4440,419,81,4412,421,77
Brooklyn,Sunset Park West,36047007800,0,8504,22563,27750,34542,3,4,12,8,13,5706.896595,16250,80.67500533,216600,597,1055,576300,4680.99996512383,4498.99996647984,54,4468.99996670336,582,75,32499.9997578561,191.999998569489,4947.99996313453,479.999996423721,238,214599.998401105,442.999996699393,5018,316,187,5068,319,172
Brooklyn,Sunset Park West,36047008000,0,9195,21174,26902,27703,3,2,9,10,22,6661.111048,20000,80.36000489,189600,613,605,596100,3665.0000034133,3372.00000314042,91,3489.00000324938,618,21,27500.0000256114,193.000000179745,3760.00000350177,594.000000553206,105,201600.000187755,412.000000383705,4360,321,149,4169,435,93
Brooklyn,Sunset Park East,36047009800,0,9641,22281,28594,35821,2,2,13,7,9,7488.372168,18125,81.10063455,240800,628,852,646700,4568,4455,31,4690,1273,61,36500,194,4996,729,178,181300,461,6121,493,98,7024,380,106
Brooklyn,Sunset Park West,36047010100,0,10030,21487,30788,50513,2,3,6,11,29,7092.307466,16102.94205,68.27127762,201900,661,1033,572600,3774.0000606305,3687.00005923281,49,3055.00004907954,1772,73,31522.0005064108,157.000002522254,3252.0000522444,1222.00001963181,135,158100.002539926,400.000006426126,4095,948,152,4093,1055,145
Brooklyn,Sunset Park East,36047010200,0,13429,29265,29485,37704,6,10,17,9,12,8368.055783,18333.33333,82.35507158,245100,669,999,611300,3823.99995281175,3779.99995335471,4,3488.99995694566,2282,24,39166.9995166783,191.999997630715,3684.99995452701,1616.99998004618,38,174999.997840496,458.999994335929,4616,942,60,5622,513,64
Brooklyn,Sunset Park East,36047010400,0,12917,25541,24574,25625,3,7,10,11,15,7074.073984,21875,79.11330167,277500,662,914,671700,4002,3904,6,3948,2703,5,55769,175,4606,1807,27,209600,476,5530,948,50,5908,478,81
Brooklyn,Sunset Park East,36047010800,0,10495,27857,28844,37953,2,10,10,14,20,8021.126794,20480.76901,82.66870601,217800,610,910,615700,3579,3550,7,3454,2265,13,39000,176,3983,1582,126,161500,439,4773,962,59,5280,589,50
Brooklyn,Sunset Park East,36047011000,0,11734,22222,30786,37083,3,3,6,13,12,7160.714223,,74.09090831,206900,707,979,581800,1881,1863,2,1731,1129,9,35000,175,1714,697,40,225000,437,2017,349,70,2441,441,52
Brooklyn,Borough Park,36047011400,0,11096,28370,35107,40779,13,15,20,27,22,8567.164397,21785.71475,89.61538637,357400,549,831,917300,3841.00003107701,3623.0000293132,115,4204.000034014,3121,183,49000.0003964524,202.000001634355,4293.00003473408,2990.00002419169,162,216700.00175329,419.000003390072,4116,2496,186,3976,2259,205
Brooklyn,Park Slope-Gowanus,36047012100,0,11643,26514,36343,54336,1,4,16,19,46,6033.333457,10833.33333,74.0340884,203400,757,1216,654100,2243.99997074157,2100.99997260608,93,1580.99997938611,720,48,27999.9996349216,158.999997926876,1601.9999791123,599.99999217689,90,141299.998157658,475.999993793666,1796,521,153,1619,836,104
Brooklyn,Dyker Heights,36047012801,0,17847,31133,40341,54688,8,9,12,17,21,9551.724729,26842.10417,100.3773595,243300,684,1080,579300,1661.00001856312,1645.00001838431,1,1505.00001681969,1410,0,55735.0006228872,216.000002413988,1487.00001661852,1153.00001288578,2,202800.002266467,450.000005029142,2006,951,11,2117,684,27
Brooklyn,Bay Ridge,36047013000,0,12590,25600,36496,46037,7,9,21,24,32,8679.104381,24537.03704,83.53982585,260000,679,1024,644800,4678.00006099418,4669.00006087683,2,4262.00005557016,3669,5,55312.0007211864,200.000002607703,4195.00005469657,3192.00004161894,38,210700.002747215,443.000005776063,4733,2644,45,4792,2532,111
Brooklyn,Dyker Heights,36047013200,0,16796,31437,34375,36007,3,9,13,22,12,9578.947034,23947.36973,83.36364066,253900,700,1064,657000,1908.00000710785,1895.00000705943,2,1877.00000699237,1756,0,48810.0001818314,207.000000771135,1802.00000671297,1498.00000558048,6,209800.000781566,520.000001937151,2165,1275,12,2239,1048,21
Brooklyn,Park Slope-Gowanus,36047013300,0,10761,31795,57885,88851,3,20,42,59,67,5890.909262,20416.66667,68.76837737,369400,884,1744,1000001,5256,4482,580,3787,1669,542,57941,181,3378,1837,457,290000,510,3667,2138,411,3730,2509,297
Brooklyn,Bay Ridge,36047013600,0,16686,33281,42500,61534,8,18,23,30,51,9477.272076,27155.9632,85.97014968,286900,719,1119,619100,4112.99992338941,4081.99992396683,18,3878.99992774799,3626,3,62773.9988307431,208.999996107072,3633.99993231148,3189.99994058162,9,244199.995451421,502.999990630895,3924,2797,29,3927,2662,50
Brooklyn,Park Slope-Gowanus,36047013700,0,11053,37588,57042,76058,1,14,37,50,44,6788.135961,17777.77757,72.83897895,372800,842,1247,960500,3862.00002877414,3551.00002645701,161,3431.00002556294,1824,320,53000.0003948808,165.000001229346,3145.00002343208,1733.00001291186,326,247700.001845509,512.000003814697,2972,1677,251,3057,1949,298
Brooklyn,Park Slope-Gowanus,36047013900,0,13147,30111,42361,60659,6,10,27,47,63,6972.222047,15760.86873,74.91712756,332600,742,1395,1000001,4307,4023,197,3845,2078,335,32656,183,3574,1728,448,226000,446,3832,1875,497,3481,2188,367
Brooklyn,Park Slope-Gowanus,36047015100,0,11027,42284,66815,106955,4,18,53,71,73,5614.285769,17115.38462,74.85915512,431900,1059,1732,1000001,4143.00006173551,3970.00005915761,41,3493.00005204976,1931,140,45833.0006829649,196.000002920628,3417.00005091727,2293.00003416836,247,279700.004167855,664.000009894371,3390,2347,213,3578,2701,156
Brooklyn,Park Slope-Gowanus,36047015300,0,17826,44844,66809,102295,13,41,62,71,81,8352.17368,20104.16617,88.56382511,568000,917,1666,1000001,4562.99994050525,3938.99994864129,422,3251.99995759875,2157,301,59749.9992209487,220.999997118488,3201.99995825067,2199.99997131526,251,354699.995375238,621.999991890043,2955,2102,173,3041,2160,307
Brooklyn,Park Slope-Gowanus,36047015500,0,15531,45616,63073,102480,12,39,63,69,83,7741.379491,41160.71382,84.1709802,533500,1016,1745,1000001,4566.9999659732,3543.99997359514,870,3736.99997215718,2440,644,95624.9992875382,214.999998398125,3367.99997490644,2515.99998125434,374,462499.996554106,566.999995775521,3312,2481,304,3272,2564,172
Brooklyn,Park Slope-Gowanus,36047015700,0,15675,46630,68787,113924,19,48,66,75,81,6656.25,33125,91.08333611,362900,989,1794,1000001,5444.00004056096,4443.00003310293,762,4168.00003105402,3005,527,116667.000869237,242.000001803041,4373.00003258139,3402.00002534688,421,491700.00366345,645.000004805624,4143,3197,355,4135,3223,233
Brooklyn,Park Slope-Gowanus,36047016500,0,20195,48568,77871,116341,30,55,69,79,85,8449.49486,46305.96761,106.3492088,401300,935,1430,836000,5579,5355,168,4936,4398,155,132222,252,4985,4362,195,500001,623,4847,3997,258,5141,4223,230
